date,avoid_ambulance_mobilized_on_road
6:36:10,0.7787
6:36:20,0.7779
6:36:30,0.7771
6:36:40,0.7764
6:36:50,0.7756
6:37:00,0.7748
6:37:10,0.774
6:37:20,0.7732
6:37:30,0.7724
6:37:40,0.7716
6:37:50,0.7709
6:38:00,0.7701
6:38:10,0.7693
6:38:20,0.7685
6:38:30,0.7677
6:38:40,0.767
6:38:50,0.7662
6:39:00,0.7654
6:39:10,0.7647
6:39:20,0.763
6:39:30,0.7623
6:39:40,0.7626
6:39:50,0.7629
6:40:00,0.7631
6:40:10,0.7634
6:40:20,0.7637
6:40:30,0.7639
6:40:40,0.7642
6:40:50,0.7644
6:41:00,0.7647
6:41:10,0.765
6:41:20,0.7652
6:41:30,0.7655
6:41:40,0.7657
6:41:50,0.766
6:42:00,0.7663
6:42:10,0.7665
6:42:20,0.7668
6:42:30,0.767
6:42:40,0.7673
6:42:50,0.7675
6:43:00,0.7678
6:43:10,0.768
6:43:20,0.7683
6:43:30,0.7685
6:43:40,0.7688
6:43:50,0.7681
6:44:00,0.7674
6:44:10,0.7667
6:44:20,0.7661
6:44:30,0.7663
6:44:40,0.7666
6:44:50,0.7668
6:45:00,0.7671
6:45:10,0.7673
6:45:20,0.7676
6:45:30,0.7678
6:45:40,0.7681
6:45:50,0.7683
6:46:00,0.7686
6:46:10,0.7688
6:46:20,0.7691
6:46:30,0.7693
6:46:40,0.7696
6:46:50,0.7698
6:47:00,0.77
6:47:10,0.7693
6:47:20,0.7686
6:47:30,0.7671
6:47:40,0.7664
6:47:50,0.7657
6:48:00,0.7651
6:48:10,0.7644
6:48:20,0.7637
6:48:30,0.7631
6:48:40,0.7624
6:48:50,0.7618
6:49:00,0.7611
6:49:10,0.7605
6:49:20,0.7598
6:49:30,0.7592
6:49:40,0.7585
6:49:50,0.7579
6:50:00,0.7573
6:50:10,0.7564
6:50:20,0.7555
6:50:30,0.7546
6:50:40,0.7546
6:50:50,0.7546
6:51:00,0.7546
6:51:10,0.7546
6:51:20,0.7549
6:51:30,0.7551
6:51:40,0.7554
6:51:50,0.7547
6:52:00,0.7541
6:52:10,0.7535
6:52:20,0.7528
6:52:30,0.7522
6:52:40,0.7525
6:52:50,0.7527
6:53:00,0.753
6:53:10,0.7532
6:53:20,0.7535
6:53:30,0.7537
6:53:40,0.7539
6:53:50,0.7542
6:54:00,0.7544
6:54:10,0.7538
6:54:20,0.7531
6:54:30,0.7525
6:54:40,0.7527
6:54:50,0.752
6:55:00,0.7514
6:55:10,0.7508
6:55:20,0.7501
6:55:30,0.7495
6:55:40,0.7488
6:55:50,0.7482
6:56:00,0.7476
6:56:10,0.7469
6:56:20,0.7463
6:56:30,0.7456
6:56:40,0.7441
6:56:50,0.7418
6:57:00,0.7395
6:57:10,0.7372
6:57:20,0.735
6:57:30,0.7327
6:57:40,0.7321
6:57:50,0.7315
6:58:00,0.7309
6:58:10,0.7295
6:58:20,0.7282
6:58:30,0.7268
6:58:40,0.7271
6:58:50,0.7274
6:59:00,0.7276
6:59:10,0.7279
6:59:20,0.7281
6:59:30,0.7283
6:59:40,0.7285
6:59:50,0.7279
7:00:00,0.7272
7:00:10,0.7258
7:00:20,0.7237
7:00:30,0.7216
7:00:40,0.721
7:00:50,0.7204
7:01:00,0.7198
7:01:10,0.7192
7:01:20,0.7178
7:01:30,0.7165
7:01:40,0.7159
7:01:50,0.7145
7:02:00,0.7124
7:02:10,0.7104
7:02:20,0.7083
7:02:30,0.7063
7:02:40,0.7066
7:02:50,0.7069
7:03:00,0.7071
7:03:10,0.7074
